station_name,station_small,open_date
ADMIRALTY MRT STATION,admiralty,10-Feb-96
ADMIRALTY MRT STATION,admiralty,10-Feb-96
ADMIRALTY MRT STATION,admiralty,10-Feb-96
ADMIRALTY MRT STATION,admiralty,10-Feb-96
ALJUNIED MRT STATION,aljunied,4-Nov-89
ALJUNIED MRT STATION,aljunied,4-Nov-89
ANG MO KIO MRT STATION,ang mo kio,7-Nov-87
ANG MO KIO MRT STATION,ang mo kio,7-Nov-87
ANG MO KIO MRT STATION,ang mo kio,7-Nov-87
ANG MO KIO MRT STATION,ang mo kio,7-Nov-87
BARTLEY MRT STATION,bartley,28-May-09
BARTLEY MRT STATION,bartley,28-May-09
BAYFRONT MRT STATION,bayfront,14-Jan-12
BAYFRONT MRT STATION,bayfront,14-Jan-12
BAYFRONT MRT STATION,bayfront,14-Jan-12
BAYFRONT MRT STATION,bayfront,14-Jan-12
BAYFRONT MRT STATION,bayfront,14-Jan-12
BEAUTY WORLD MRT STATION,beauty world,27-Dec-15
BEAUTY WORLD MRT STATION,beauty world,27-Dec-15
BEAUTY WORLD MRT STATION,beauty world,27-Dec-15
BEDOK MRT STATION,bedok,4-Nov-89
BEDOK MRT STATION,bedok,4-Nov-89
BEDOK MRT STATION,bedok,4-Nov-89
BEDOK NORTH MRT STATION,bedok north,21-Oct-17
BEDOK NORTH MRT STATION,bedok north,21-Oct-17
BEDOK NORTH MRT STATION,bedok north,21-Oct-17
BEDOK NORTH MRT STATION,bedok north,21-Oct-17
BEDOK RESERVOIR MRT STATION,bedok reservoir,21-Oct-17
BEDOK RESERVOIR MRT STATION,bedok reservoir,21-Oct-17
BENCOOLEN MRT STATION,bencoolen,21-Oct-17
BENCOOLEN MRT STATION,bencoolen,21-Oct-17
BENCOOLEN MRT STATION,bencoolen,21-Oct-17
BENDEMEER MRT STATION,bendemeer,21-Oct-17
BENDEMEER MRT STATION,bendemeer,21-Oct-17
BISHAN MRT STATION,bishan,7-Nov-87
BISHAN MRT STATION,bishan,7-Nov-87
