SchoolName,address,latitude,longitude,postal_code
Admiralty Primary School,"11 Woodlands Circle, S738907",1.4426347903311,103.800040119743,738907
Ahmad Ibrahim Primary School,"10 Yishun Street 11, S768643",1.43080205677888,103.833011168832,768642
Ai Tong School,"100 Bright Hill Drive, S579646",1.35703429807501,103.832479381687,579641
Alexandra Primary School,"2A Prince Charles Crescent, S159016",1.29133439161334,103.824424680531,159016
Anchor Green Primary School,"31 Anchorvale Drive, S544969",1.39036998654612,103.887165375933,544969
Anderson Primary School,"19 Ang Mo Kio Ave 9, S569785",1.38426429436736,103.841392081119,569785
Ang Mo Kio Primary School,"20 Ang Mo Kio Avenue 3, S569920",1.36929729654979,103.84715944541,569922
Anglo-Chinese School (Junior),"16 Winstedt Road, S227988",1.31081854285801,103.842184750619,227987
Anglo-Chinese School (Primary),"50 Barker Road, S309918",1.32125195156751,103.836386298905,309912
Angsana Primary School,"51 Tampines Street 61, S528565",1.36360590588314,103.9389409004,528565
Beacon Primary School,"36 Bukit Panjang Ring Road, S679944",1.38394936211823,103.773632022975,679944
Bedok Green Primary School,"1 Bedok South Ave 2, S469317",1.32344593287992,103.937878976352,469317
Bendemeer Primary School,"91 Bendemeer Road, S339948",1.31691578544271,103.863109192276,339949
Blangah Rise Primary School,"91 Telok Blangah Heights, S109100",1.27612047924037,103.808628535239,109100
Boon Lay Garden Primary School,"20 Boon Lay Drive, S649930",1.34284013791617,103.712858381937,649930
Bukit Panjang Primary School,"109 Cashew Road, S679676",1.37350089986584,103.769417337654,679676
Bukit Timah Primary School,"111 Lorong Kismis, S598112",1.31234800506209,103.873747840397,381111
Bukit View Primary School,"18 Bukit Batok Street 21, S659634",1.34394552047156,103.753259176034,659554
Canberra Primary School,"21 Admiralty Drive, S757714",1.44908391645155,103.780953925553,757698
Canossa Catholic Primary School,"1 Sallim Road, S387621",1.32597514754352,103.881583909549,387627
Cantonment Primary School,"1 Cantonment Close, S088256",1.27401273070105,103.840640244023,089762
Casuarina Primary School,"30 Pasir Ris St 41, S518935",1.37246063927999,103.957020286115,518935
Catholic High School (Primary Section),"9 Bishan Street 22, S579767",1.35333651372257,103.850867392266,579785
Cedar Primary School,"15 Cedar Avenue, S349700",1.33491428696211,103.876035251478,349704
Changkat Primary School,"11 Simei St 3, S529896",1.34208237947008,103.949153919162,529897
CHIJ (Katong) Primary,"17 Martia Road, S424821",1.30706433353361,103.9107295348,424801
CHIJ (Kellock),"1 Bukit Teresa Road, S099757",1.27563021645783,103.825021304849,099754
CHIJ Our Lady of Good Counsel,"2C Burghley Drive, S558979",1.35937725982006,103.860489203259,559020
CHIJ Our Lady of the Nativity,"1257 Upper Serangoon Road, S534793",1.36254276425588,103.887233439196,534739
CHIJ Our Lady Queen of Peace,"4 Chestnut Drive, S679287",1.36680065553887,103.768237121237,679187
CHIJ Primary (Toa Payoh),"628 Lorong 1 Toa Payoh, S319765",1.33452048243981,103.842598451486,319763
CHIJ St. Nicholas Girls' School (Primary Section),"501 Ang Mo Kio Street 13, S569405",1.36951942637994,103.848462230319,567751
Chongfu School,"170 Yishun Avenue 6, S768959",1.43709558093348,103.832777533108,760170
Chongzheng Primary School,"1 Tampines Street 21, S529392",1.35582160253707,103.949866525154,529394
Chua Chu Kang Primary School,"20 Choa Chu Kang Avenue 2, S689905",1.38555516336432,103.745261508747,689688
Clementi Primary School,"8 Clementi Ave 3, S129903",1.31200212030821,103.764986676365,129905
Compassvale Primary School,"21 Compassvale St, S545091",1.38529774486579,103.900028932986,540210
Concord Primary School,"3 Choa Chu Kang Ave 4, S689814",1.38555516336432,103.745261508747,689688
Corporation Primary School,"31 Jurong West Street 24, S648347",1.34742568731438,103.703602009626,648349
Damai Primary School,"52 Bedok Reservoir Crescent, S479226",1.33927657039539,103.933484987068,479266
Dazhong Primary School,"35 Bukit Batok Street 31, S659441",1.34394552047156,103.753259176034,659554
De La Salle School,"11 Choa Chu Kang St 52, S689285",1.39447144920635,103.744054352225,689284
East Spring Primary School,"31 Tampines St 33, S529258",1.35433851523618,103.950029531311,520258
Edgefield Primary School,"41 Edgefield Plains, S828869",1.40182887791155,103.909677581483,NIL
Elias Park Primary School,"11 Pasir Ris Street 52, S518866",1.36892657029538,103.954870571077,510115
Endeavour Primary School,"10 Admiralty Link, S757521",1.45520369884215,103.832268024113,759988
Evergreen Primary School,"31 Woodlands Circle, S738908",1.44414835451585,103.794545295922,738908
Fairfield Methodist School (Primary),"100 Dover Road, S139648",1.30056212358893,103.784919702548,139647
Farrer Park Primary School,"2 Farrer Park Road, S217567",1.31275668101216,103.853842188373,217562
Fengshan Primary School,"307 Bedok North Road, S469680",1.33474211664091,103.91797832995,479481
Fern Green Primary School,"70 Fernvale Link, S797538",1.39448869179735,103.878743351439,797537
Fernvale Primary School,"1 Fernvale Lane, S797701",1.38830347916489,103.871173506409,790402
First Toa Payoh Primary School,"7 Lorong 8 Toa Payoh, S319252",1.33987656572036,103.859571511004,319256
Frontier Primary School,"20 Jurong West Street 61, S648200",1.33641298743234,103.69970173931,648200
Fuchun Primary School,"23 Woodlands Avenue 1, S739063",1.42934183996438,103.774484770751,739068
Fuhua Primary School,"65 Jurong East Street 13, S609647",1.335574050613,103.738118513305,609648
Gan Eng Seng Primary School,"100 Redhill Close, S158901",1.28626159317106,103.816350254043,158900
Geylang Methodist School (Primary),"4 Geylang East Central, S389706",1.31814416827374,103.883628501601,389706
Gongshang Primary School,"1 Tampines Street 42, S529176",1.34978359073264,103.93561470672,528985
Greendale Primary School,"50 Edgedale Plains, S828848",1.39928198837342,103.905961941214,828858
Greenridge Primary School,"11 Jelapang Road, S677744",1.3225280964216,103.792149934711,267774
Greenwood Primary School,"11 Woodlands  Dr  62, S737942",1.4300288769068,103.785578945342,737922
Haig Girls' School,"51 Koon Seng Road, S427072",1.31261066286246,103.905198045093,427042
Henry Park Primary School,"1 Holland Grove Road, S278790",1.31667646178347,103.784296227747,278790
Holy Innocents' Primary School,"5 Lorong Low Koon, S536451",1.36587550565796,103.892726028017,536450
Hong Wen School,"30 Towner Road, S327829",1.32175999964553,103.857628468881,327829
Horizon Primary School,"61 Edgedale Plains, S828819",1.40080771472077,103.913568223496,NIL
Hougang Primary School,"1 Hougang St 93, S534238",1.35714409402773,103.888970066565,530238
Huamin Primary School,"21 Yishun Avenue 11, S768857",1.42697284512936,103.844240226564,768857
Innova Primary School,"80 Woodlands Drive 17, S737888",1.43712301500434,103.795314383823,730888
Jiemin Primary School,"2 Yishun Street 71, S768515",1.42515128796705,103.851089615155,768039
Jing Shan Primary School,"5 Ang Mo Kio St 52, S569228",1.3717127273059,103.849139069822,569208
Junyuan Primary School,"2 Tampines Street 91, S528906",1.34711275884527,103.939451879381,528907
Jurong Primary School,"320 Jurong East Street 32, S609476",1.34875786021291,103.730708675043,600320
Jurong West Primary School,"30 Jurong West St 61, S648368",1.33701267246131,103.693517778242,648968
Keming Primary School,"90 Bukit Batok East Avenue 6, S659762",1.34749904303048,103.764379573886,659761
Kheng Cheng School,"15 Lorong 3 Toa Payoh, S319580",1.3373381935639,103.847148501824,319580
Kong Hwa School,"350 Guillemard Road, S399772",1.3106529983048,103.881632477447,399727
Kranji Primary School,"11 Choa Chu Kang Street 54, S689189",1.38555516336432,103.745261508747,689688
Kuo Chuan Presbyterian Primary School,"8 Bishan Street 13, S579793",1.34947834623064,103.8507462049,579799
Lakeside Primary School,"161 Corporation Walk, S618310",1.33944169701534,103.717939547045,618320
Lianhua Primary School,"2 Bukit Batok Street 52, S659243",1.34394552047156,103.753259176034,659554
Maha Bodhi School,"10 Ubi Avenue 1, S408931",1.32460806739704,103.89400126612,408937
Maris Stella High School (Primary Section),"25 Mount Vernon Road, S368051",1.34099076651783,103.880849820172,368061
Marsiling Primary School,"31 Woodlands Centre Road, S738927",1.43903831450662,103.769799867546,738937
Marymount Convent School,"20 Marymount Road, S297754",1.34828073927366,103.83855935769,574029
Mayflower Primary School,"200 Ang Mo Kio Avenue 5, S569878",1.36951942637994,103.848462230319,567751
Mee Toh School,"21 Edgedale Plains, S828867",1.40080771472077,103.913568223496,NIL
Meridian Primary School,"20 Pasir Ris St 71, S518798",1.37550677054835,103.934953276155,518798
Methodist Girls' School (Primary),"11 Blackmore Drive, S599986",1.34967212655313,103.88443449921,539986
Montfort Junior School,"52 Hougang Avenue 8, S538786",1.37853563170323,103.897145708065,538768
Nan Chiau Primary School,"50 Anchorvale Link, S545080",1.39829025480404,103.883494742918,544834
Nan Hua Primary School,"30 Jalan Lempeng, S128806",1.32986277453138,103.908271634994,418806
Nanyang Primary School,"52 King's Road, S268097",1.31786831918356,103.802210672247,268027
Naval Base Primary School,"7 Yishun Ave 4, S769028",1.42250353594748,103.833066132209,769058
New Town Primary School,"300 Tanglin Halt Road, S148812",1.29981138884057,103.799964819895,148812
Ngee Ann Primary School,"344 Marine Terrace, S449149",1.30261163483383,103.904983086812,449971
North Spring Primary School,"1 Rivervale Street, S545088",1.39250410994833,103.904483668323,545082
North View Primary School,"210 Yishun Avenue 6, S768960",1.42390636623872,103.849059031639,768962
North Vista Primary School,"20 Compassvale Link, S544974",1.38515662404444,103.895055060286,544976
Northland Primary School,"15 Yishun Avenue 4, S769026",1.41590195697649,103.839100590207,769028
Northoaks Primary School,"61 Sembawang Drive, S757622",1.45732867302094,103.814075611175,757622
Northshore Primary School,"30 Northshore Drive, S828671",1.41499758037641,103.899010739769,828670
Oasis Primary School,"71 Edgefield Plains, S828716",1.40185430270244,103.910410112245,828717
Opera Estate Primary School,"48 Fidelio Street, S458436",1.32006794079958,103.921744077945,458486
Palm View Primary School,"150 Compassvale Bow, S544822",1.38529774486579,103.900028932986,540210
