blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,flat_type_1 ROOM,flat_type_2 ROOM,flat_type_3 ROOM,flat_type_4 ROOM,flat_type_5 ROOM,flat_type_EXECUTIVE,flat_type_MULTI-GENERATION,address,latitude,longitude,postal_code,geohash
1,BEACH RD,16,1970,KWN,0,1,138,1,2,0,0,1 BEACH RD,1.3036713506088,103.864478660925,190001,w21z7mrf3vbw
1,BEDOK STH AVE 1,14,1975,BD,0,0,204,0,2,0,0,1 BEDOK STH AVE 1,1.32085208689731,103.933721091441,460001,w21zt06nx0xm
1,CHAI CHEE RD,15,1982,BD,0,0,0,10,92,0,0,1 CHAI CHEE RD,1.32796879176302,103.922716018139,461001,w21zscdpyz3d
1,CHANGI VILLAGE RD,4,1975,PRC,0,0,54,0,1,0,0,1 CHANGI VILLAGE RD,1.38854656229022,103.987804503483,500001,w21zykc8g7z4
1,DELTA AVE,25,1982,BM,0,0,0,0,96,0,0,1 DELTA AVE,1.2920752508431,103.828584077626,160001,w21z6ejwvk79
1,DOVER RD,12,1975,QT,0,0,118,0,7,0,0,1 DOVER RD,1.3025299473495,103.783271662459,130001,w21z3thev90m
1,EUNOS CRES,14,1977,GL,0,0,0,0,0,0,0,1 EUNOS CRES,1.3206576452482,103.90246344511,400001,w21zs27mqukj
1,EVERTON PK,12,1965,BM,0,0,62,0,33,0,0,1 EVERTON PK,1.27742654288695,103.840001188095,081001,w21z6btcx3sf
1,GHIM MOH RD,15,1975,QT,0,0,216,0,4,0,0,1 GHIM MOH RD,1.31287975684307,103.786855017635,270001,w21z3xp21480
1,HAIG RD,15,1976,GL,0,0,213,0,5,0,0,1 HAIG RD,1.31129091152627,103.897703432652,430001,w21zknxyzfqf
1,HOLLAND CL,13,1973,QT,0,0,0,0,0,0,0,1 HOLLAND CL,1.30921937771543,103.796732386696,271001,w21z3yq6z0jm
1,HOUGANG AVE 3,14,1974,HG,0,0,200,0,4,0,0,1 HOUGANG AVE 3,1.36413097349222,103.89300132385,530001,w21zu0kddkkw
1,JLN BT MERAH,14,1974,BM,0,0,243,0,0,0,0,1 JLN BT MERAH,1.28645354030174,103.808242400418,150001,w21z64ny5k7f
1,JLN KUKOH,17,1969,CT,0,0,0,0,0,0,0,1 JLN KUKOH,1.2882310152805,103.839934168065,161001,w21z6ftbmzdv
1,KG KAYU RD,10,1963,KWN,0,0,106,1,0,0,0,1 KG KAYU RD,1.30355769675629,103.883796413118,431001,w21z7vmcgbub
1,LOR 7 TOA PAYOH,11,1968,TP,0,0,194,0,2,0,0,1 LOR 7 TOA PAYOH,1.33943033543358,103.853442790992,310001,w21ze5zf8xgt
1,LOR LEW LIAN,14,1977,SGN,0,0,174,0,3,0,0,1 LOR LEW LIAN,1.35086712646948,103.875343939672,531001,w21zetztqgyk
1,MARINE TER,25,1974,MP,0,0,0,0,96,0,0,1 MARINE TER,1.30482902187779,103.918614976369,440001,w21zktx1pjz8
1,MARSILING DR,11,1973,WL,0,0,158,0,1,0,0,1 MARSILING DR,1.44067109860246,103.775739945213,730001,w23b1qr0w081
1,MAUDE RD,14,1970,KWN,0,0,0,0,0,0,0,1 MAUDE RD,1.30758230206089,103.858967398343,200001,w21z7q5c1r50
1,PINE CL,19,1998,GL,0,0,0,100,56,0,0,1 PINE CL,1.30787056219408,103.883192164927,390001,w21z7yj6vudr
1,QUEEN'S RD,23,1974,BT,0,0,0,0,88,0,0,1 QUEEN'S RD,1.31726629524359,103.806782877524,260001,w21z6pvc9k5r
1,ST. GEORGE'S RD,12,1975,KWN,0,0,0,154,0,0,0,1 ST. GEORGE'S RD,1.32340263694069,103.86163080083,320001,w21ze2vtrkjh
1,TECK WHYE AVE,13,1983,CCK,0,0,68,48,0,2,0,1 TECK WHYE AVE,1.38253882861956,103.751710905678,680001,w21zbgtty5fv
1,TELOK BLANGAH CRES,16,1973,BM,0,0,146,0,2,0,0,1 TELOK BLANGAH CRES,1.27945660077329,103.817897561986,090001,w21z62vvk7gp
1,TG PAGAR PLAZA,24,1976,CT,0,0,158,0,5,0,0,1 TG PAGAR PLAZA,1.2755961982077,103.842393171342,082001,w21z6bpwzhk7
1,THOMSON RD,4,1977,KWN,0,0,0,0,0,0,0,1 THOMSON RD,1.32559594839311,103.842571612968,300001,w21zdcrf5kcx
1,TOH YI DR,13,1987,BT,0,0,0,72,60,0,0,1 TOH YI DR,1.33958155877064,103.774586318946,591501,w21z97y7eh5g
1A,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1A CANTONMENT RD,1.27784271048219,103.840965923691,085101,w21z6bwevzhh
1A,EUNOS CRES,2,1981,GL,0,0,0,0,0,0,0,1A EUNOS CRES,1.32129030482793,103.902727807563,401001,w21zs2e9j435
1B,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1B CANTONMENT RD,1.27779940676005,103.841403430465,085201,w21z6bx58p46
1C,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1C CANTONMENT RD,1.27744909387079,103.841666679651,085301,w21z6bx1wjy8
1D,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1D CANTONMENT RD,1.27692024304713,103.841485788369,085401,w21z6brn9gpv
1E,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1E CANTONMENT RD,1.27662168427368,103.841156142262,085501,w21z6bquf7d0
1F,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1F CANTONMENT RD,1.27598699469414,103.841191762017,085601,w21z6bqc5jhw
1G,CANTONMENT RD,50,2009,CT,0,0,0,176,88,0,0,1G CANTONMENT RD,1.27553229128302,103.841274606704,085701,w21z6bnyt06q
10,CHAI CHEE RD,15,1999,BD,0,0,0,56,28,0,0,10 CHAI CHEE RD,1.32727572366021,103.924803599281,467010,w21zsceezqnh
10,DAKOTA CRES,7,1958,GL,0,0,0,0,0,0,0,10 DAKOTA CRES,1.30634114614887,103.884458183612,390010,w21z7vy3grdk
10,EUNOS CRES,16,1977,GL,0,0,0,180,0,0,0,10 EUNOS CRES,1.32228655863065,103.902720513959,400010,w21zs2ewuu5f
10,GLOUCESTER RD,14,1976,KWN,0,0,180,26,1,0,0,10 GLOUCESTER RD,1.31391658721965,103.852209769739,210010,w21z7pny5gu1
10,HAIG RD,13,1976,GL,0,0,132,0,0,0,0,10 HAIG RD,1.31483950176268,103.895865169739,430010,w21zkpqempu5
