month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,date,adjusted_resale_price,adj_resale_price_per_sqm,address,latitude,longitude,min_dist_sch,min_dist_cbd,geohash,min_dist_mrt,postal_code
2015-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,07 TO 09,60,Improved,1986,70,01/01/2015,303649.0109,5060.816848,174 ANG MO KIO AVE 4,1.375097469,103.837619,0.415218792,9.76408652,w21zffk4xbsx,1.081121964,560174
2015-01,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1981,65,01/01/2015,327464.6196,4815.65617,541 ANG MO KIO AVE 10,1.373922392,103.8556214,2.134442144,9.515642742,w21zg617emsn,0.78468434,560541
2015-01,ANG MO KIO,3 ROOM,163,ANG MO KIO AVE 4,01 TO 03,69,New Generation,1980,64,01/01/2015,339372.4239,4918.440927,163 ANG MO KIO AVE 4,1.373548539,103.8381765,0.436676101,9.585102398,w21zffh9sbh2,1.161898659,560163
2015-01,ANG MO KIO,3 ROOM,446,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1979,63,01/01/2015,345326.3261,5078.328325,446 ANG MO KIO AVE 10,1.367760951,103.8553571,1.854531954,8.833708891,w21zg2cpv1p5,0.631719739,560446
2015-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,64,01/01/2015,345326.3261,5078.328325,557 ANG MO KIO AVE 10,1.371625702,103.8577361,1.900747055,9.275780889,w21zg3dyk9sf,0.900023256,560557
2015-01,ANG MO KIO,3 ROOM,603,ANG MO KIO AVE 5,07 TO 09,67,New Generation,1980,64,01/01/2015,345326.3261,5154.12427,603 ANG MO KIO AVE 5,1.38020079,103.8357557,0.762065178,10.35508324,w21zfg6bk2p4,1.008160299,560603
2015-01,ANG MO KIO,3 ROOM,709,ANG MO KIO AVE 8,01 TO 03,68,New Generation,1980,64,01/01/2015,345326.3261,5078.328325,709 ANG MO KIO AVE 8,1.371137208,103.8476623,1.51452317,9.209513664,w21zg1ee3yt2,0.264940841,560709
2015-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,01 TO 03,68,New Generation,1981,65,01/01/2015,348898.6674,5130.862756,333 ANG MO KIO AVE 1,1.361342556,103.8516986,1.0547401,8.115046175,w21zepy6ruxh,1.149883527,560333
2015-01,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,62,01/01/2015,357234.1305,5331.852693,109 ANG MO KIO AVE 4,1.370096538,103.8376878,0.534604955,9.217489941,w21zfckm3kxb,1.299146475,560109
2015-01,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,13 TO 15,68,New Generation,1985,69,01/01/2015,366164.9837,5384.779172,564 ANG MO KIO AVE 3,1.369848376,103.8594041,1.742308846,9.095193129,w21zg3k5gw0x,1.054208618,560564
